experiment_id,run_id,method,model,ratio_name,ratio_value,seed_name,split,num_samples,accuracy,macro_f1,macro_precision,macro_recall
exp03_mert_linear,run_exp03_mert_linear_train10_seed0,MERT linear probe,mert_v1_95m,train10,0.1,seed0,val,221,0.6877828054298643,0.5708618112692816,0.6344120598430943,0.5930205415499533
exp03_mert_linear,run_exp03_mert_linear_train10_seed0,MERT linear probe,mert_v1_95m,train10,0.1,seed0,test,204,0.7156862745098039,0.6035556798281575,0.6615428478331704,0.6447965070014637
exp03_mert_linear,run_exp03_mert_linear_train10_seed0,MERT linear probe,mert_v1_95m,train10,0.1,seed0,external_test,610,0.24918032786885247,0.08945042862087922,0.08438628158844765,0.14994651135147988
exp03_mert_linear,run_exp03_mert_linear_train10_seed1,MERT linear probe,mert_v1_95m,train10,0.1,seed1,val,185,0.6216216216216216,0.4660401209605443,0.4519422836838567,0.5181481481481481
exp03_mert_linear,run_exp03_mert_linear_train10_seed1,MERT linear probe,mert_v1_95m,train10,0.1,seed1,test,242,0.5,0.4000911510552374,0.5307302494802495,0.4922114375895888
exp03_mert_linear,run_exp03_mert_linear_train10_seed1,MERT linear probe,mert_v1_95m,train10,0.1,seed1,external_test,610,0.22459016393442624,0.20045661791870537,0.2489138188186157,0.1943452258162215
exp03_mert_linear,run_exp03_mert_linear_train10_seed2,MERT linear probe,mert_v1_95m,train10,0.1,seed2,val,230,0.8,0.8326308710162315,0.8574305004540435,0.844379082009744
exp03_mert_linear,run_exp03_mert_linear_train10_seed2,MERT linear probe,mert_v1_95m,train10,0.1,seed2,test,233,0.6695278969957081,0.6880585788040269,0.7634023464458247,0.7049933903559075
exp03_mert_linear,run_exp03_mert_linear_train10_seed2,MERT linear probe,mert_v1_95m,train10,0.1,seed2,external_test,610,0.3360655737704918,0.24598953883779753,0.266627998000547,0.33036969188932885
exp03_mert_linear,run_exp03_mert_linear_train25_seed0,MERT linear probe,mert_v1_95m,train25,0.25,seed0,val,221,0.8868778280542986,0.8510999514871873,0.8848492535568847,0.8450477626948215
exp03_mert_linear,run_exp03_mert_linear_train25_seed0,MERT linear probe,mert_v1_95m,train25,0.25,seed0,test,204,0.8480392156862745,0.8714774675223483,0.8828331167040844,0.8730091443801121
exp03_mert_linear,run_exp03_mert_linear_train25_seed0,MERT linear probe,mert_v1_95m,train25,0.25,seed0,external_test,610,0.36885245901639346,0.29213412878031836,0.4111441236460566,0.3374915675423993
exp03_mert_linear,run_exp03_mert_linear_train25_seed1,MERT linear probe,mert_v1_95m,train25,0.25,seed1,val,185,0.8594594594594595,0.7706079586975297,0.8652130508570212,0.7525110229276896
exp03_mert_linear,run_exp03_mert_linear_train25_seed1,MERT linear probe,mert_v1_95m,train25,0.25,seed1,test,242,0.8884297520661157,0.8897479377873108,0.9087711742750502,0.8971963698854455
exp03_mert_linear,run_exp03_mert_linear_train25_seed1,MERT linear probe,mert_v1_95m,train25,0.25,seed1,external_test,610,0.3540983606557377,0.3335977132023265,0.4691966994639634,0.37906564094615075
exp03_mert_linear,run_exp03_mert_linear_train25_seed2,MERT linear probe,mert_v1_95m,train25,0.25,seed2,val,230,0.7956521739130434,0.8162483406385846,0.8368903318903319,0.8446591349030372
exp03_mert_linear,run_exp03_mert_linear_train25_seed2,MERT linear probe,mert_v1_95m,train25,0.25,seed2,test,233,0.8111587982832618,0.867186149013463,0.8912941940479313,0.878421699899128
exp03_mert_linear,run_exp03_mert_linear_train25_seed2,MERT linear probe,mert_v1_95m,train25,0.25,seed2,external_test,610,0.3360655737704918,0.22234255306972914,0.30137194474866075,0.289630265782951
exp03_mert_linear,run_exp03_mert_linear_train50_seed0,MERT linear probe,mert_v1_95m,train50,0.5,seed0,val,221,0.9638009049773756,0.9441391941391942,0.9585113960113959,0.9344519859225741
exp03_mert_linear,run_exp03_mert_linear_train50_seed0,MERT linear probe,mert_v1_95m,train50,0.5,seed0,test,204,0.9362745098039216,0.9497578870139397,0.9498415296287636,0.9554843304843305
exp03_mert_linear,run_exp03_mert_linear_train50_seed0,MERT linear probe,mert_v1_95m,train50,0.5,seed0,external_test,610,0.34098360655737703,0.27913807481203573,0.37323432470442297,0.41270259580599306
exp03_mert_linear,run_exp03_mert_linear_train50_seed1,MERT linear probe,mert_v1_95m,train50,0.5,seed1,val,185,0.8864864864864865,0.8194601869130173,0.9147954296661194,0.7953373015873016
exp03_mert_linear,run_exp03_mert_linear_train50_seed1,MERT linear probe,mert_v1_95m,train50,0.5,seed1,test,242,0.9462809917355371,0.9459008470001141,0.9465689848995836,0.9462141058779713
exp03_mert_linear,run_exp03_mert_linear_train50_seed1,MERT linear probe,mert_v1_95m,train50,0.5,seed1,external_test,610,0.41147540983606556,0.3497841655928915,0.5157235350280464,0.36789992753434714
exp03_mert_linear,run_exp03_mert_linear_train50_seed2,MERT linear probe,mert_v1_95m,train50,0.5,seed2,val,230,0.9043478260869565,0.9215150083188921,0.9258954912395535,0.9247416926859434
exp03_mert_linear,run_exp03_mert_linear_train50_seed2,MERT linear probe,mert_v1_95m,train50,0.5,seed2,test,233,0.8626609442060086,0.889534185519213,0.8938608305274971,0.8959061660840045
exp03_mert_linear,run_exp03_mert_linear_train50_seed2,MERT linear probe,mert_v1_95m,train50,0.5,seed2,external_test,610,0.3950819672131147,0.3073650787623219,0.3325828992672993,0.3901227273798435
exp03_mert_linear,run_exp03_mert_linear_train100_seed0,MERT linear probe,mert_v1_95m,train100,1.0,seed0,val,221,0.9819004524886877,0.9767867303301075,0.9887910798122065,0.9678559948569592
exp03_mert_linear,run_exp03_mert_linear_train100_seed0,MERT linear probe,mert_v1_95m,train100,1.0,seed0,test,204,0.9754901960784313,0.9804920833999579,0.9797211497211498,0.9816899451045793
exp03_mert_linear,run_exp03_mert_linear_train100_seed0,MERT linear probe,mert_v1_95m,train100,1.0,seed0,external_test,610,0.44098360655737706,0.3875519935745902,0.44167274098493164,0.4945169428685619
exp03_mert_linear,run_exp03_mert_linear_train100_seed1,MERT linear probe,mert_v1_95m,train100,1.0,seed1,val,185,0.9513513513513514,0.9280853156309546,0.9572954822954823,0.9204166666666667
exp03_mert_linear,run_exp03_mert_linear_train100_seed1,MERT linear probe,mert_v1_95m,train100,1.0,seed1,test,242,0.987603305785124,0.9885805408763808,0.9884615384615385,0.9889237746380605
exp03_mert_linear,run_exp03_mert_linear_train100_seed1,MERT linear probe,mert_v1_95m,train100,1.0,seed1,external_test,610,0.4524590163934426,0.41190262406390604,0.4763077906798101,0.49363789225727933
exp03_mert_linear,run_exp03_mert_linear_train100_seed2,MERT linear probe,mert_v1_95m,train100,1.0,seed2,val,230,0.9521739130434783,0.9604515090753623,0.9635802469135802,0.9626634689352459
exp03_mert_linear,run_exp03_mert_linear_train100_seed2,MERT linear probe,mert_v1_95m,train100,1.0,seed2,test,233,0.9098712446351931,0.9333137427651711,0.9317448680351906,0.9420401000428361
exp03_mert_linear,run_exp03_mert_linear_train100_seed2,MERT linear probe,mert_v1_95m,train100,1.0,seed2,external_test,610,0.4672131147540984,0.38837165639130866,0.47095225021266957,0.5227549754774112
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train10_seed0,MERT+LoRA (r=4),mert_v1_95m,train10,0.1,seed0,val,221,0.5565610859728507,0.4605146520146521,0.4441732335646809,0.5989010989010989
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train10_seed0,MERT+LoRA (r=4),mert_v1_95m,train10,0.1,seed0,test,204,0.6372549019607843,0.49845152788073466,0.6780813953488373,0.5552373403179854
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train10_seed0,MERT+LoRA (r=4),mert_v1_95m,train10,0.1,seed0,external_test,610,0.2967213114754098,0.17380437394857004,0.2947721618596558,0.2911096466453273
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train10_seed1,MERT+LoRA (r=4),mert_v1_95m,train10,0.1,seed1,val,185,0.6162162162162163,0.4572742590718479,0.45626190915237563,0.5006172839506172
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train10_seed1,MERT+LoRA (r=4),mert_v1_95m,train10,0.1,seed1,test,242,0.47520661157024796,0.36619142962349266,0.3308209864966241,0.46479964127022955
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train10_seed1,MERT+LoRA (r=4),mert_v1_95m,train10,0.1,seed1,external_test,610,0.23934426229508196,0.2115973132755655,0.2444176028405419,0.27654916539670327
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train10_seed2,MERT+LoRA (r=4),mert_v1_95m,train10,0.1,seed2,val,230,0.7478260869565218,0.5975652179173357,0.6988430698739978,0.6380711042731949
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train10_seed2,MERT+LoRA (r=4),mert_v1_95m,train10,0.1,seed2,test,233,0.5579399141630901,0.4732989553106672,0.613716570168183,0.5387562354046622
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train10_seed2,MERT+LoRA (r=4),mert_v1_95m,train10,0.1,seed2,external_test,610,0.3180327868852459,0.18432019313318573,0.25846702317290554,0.2428208548498576
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train25_seed0,MERT+LoRA (r=4),mert_v1_95m,train25,0.25,seed0,val,221,0.6742081447963801,0.5465779491248078,0.6073714797579254,0.5743464052287581
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train25_seed0,MERT+LoRA (r=4),mert_v1_95m,train25,0.25,seed0,test,204,0.7156862745098039,0.5769858467041565,0.6375929434550124,0.5931715834941641
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train25_seed0,MERT+LoRA (r=4),mert_v1_95m,train25,0.25,seed0,external_test,610,0.2360655737704918,0.1729491654596446,0.26152501529315186,0.19332872137644355
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train25_seed1,MERT+LoRA (r=4),mert_v1_95m,train25,0.25,seed1,val,185,0.7351351351351352,0.5381436762153478,0.5604486227939963,0.5584832451499118
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train25_seed1,MERT+LoRA (r=4),mert_v1_95m,train25,0.25,seed1,test,242,0.628099173553719,0.5593850352681874,0.656998556998557,0.6284529014308425
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train25_seed1,MERT+LoRA (r=4),mert_v1_95m,train25,0.25,seed1,external_test,610,0.24918032786885247,0.1272574372600556,0.26673723026362167,0.18835551733273048
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train25_seed2,MERT+LoRA (r=4),mert_v1_95m,train25,0.25,seed2,val,230,0.6956521739130435,0.559607572482388,0.6650120264461349,0.6058464183899724
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train25_seed2,MERT+LoRA (r=4),mert_v1_95m,train25,0.25,seed2,test,233,0.6695278969957081,0.5599558756667978,0.6507853455221876,0.6498238195912615
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train25_seed2,MERT+LoRA (r=4),mert_v1_95m,train25,0.25,seed2,external_test,610,0.25901639344262295,0.13878625780099937,0.12284798534798536,0.2106367570470744
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train50_seed0,MERT+LoRA (r=4),mert_v1_95m,train50,0.5,seed0,val,221,0.8280542986425339,0.6742878029833913,0.8544667433747287,0.6741226040647449
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train50_seed0,MERT+LoRA (r=4),mert_v1_95m,train50,0.5,seed0,test,204,0.8186274509803921,0.6932169229628186,0.7260281385281386,0.7102564102564103
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train50_seed0,MERT+LoRA (r=4),mert_v1_95m,train50,0.5,seed0,external_test,610,0.42950819672131146,0.2511847872657975,0.613995417002566,0.31459454853202096
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train50_seed1,MERT+LoRA (r=4),mert_v1_95m,train50,0.5,seed1,val,185,0.7081081081081081,0.5245337882204509,0.5253602718414804,0.5509700176366844
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train50_seed1,MERT+LoRA (r=4),mert_v1_95m,train50,0.5,seed1,test,242,0.5206611570247934,0.4069091571138279,0.42046608469038443,0.5106905548082018
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train50_seed1,MERT+LoRA (r=4),mert_v1_95m,train50,0.5,seed1,external_test,610,0.2754098360655738,0.11497784709451647,0.11265456458826624,0.17702321363322196
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train50_seed2,MERT+LoRA (r=4),mert_v1_95m,train50,0.5,seed2,val,230,0.8869565217391304,0.746213862765587,0.7521816631791056,0.751247668320839
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train50_seed2,MERT+LoRA (r=4),mert_v1_95m,train50,0.5,seed2,test,233,0.7854077253218884,0.6843395043395043,0.6896436352318704,0.7218974975472924
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train50_seed2,MERT+LoRA (r=4),mert_v1_95m,train50,0.5,seed2,external_test,610,0.5180327868852459,0.4509224691954851,0.5696405859942386,0.5137807656839827
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train100_seed0,MERT+LoRA (r=4),mert_v1_95m,train100,1.0,seed0,val,221,0.8009049773755657,0.6826415094339623,0.708839345293904,0.6929727082089666
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train100_seed0,MERT+LoRA (r=4),mert_v1_95m,train100,1.0,seed0,test,204,0.8088235294117647,0.7749084544542523,0.8123796362803577,0.7956977759397114
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train100_seed0,MERT+LoRA (r=4),mert_v1_95m,train100,1.0,seed0,external_test,610,0.46229508196721314,0.42120701468719407,0.5905696259198437,0.4372522105869576
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train100_seed1,MERT+LoRA (r=4),mert_v1_95m,train100,1.0,seed1,val,185,0.8432432432432433,0.6945914168136391,0.7655757984705353,0.6955753968253968
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train100_seed1,MERT+LoRA (r=4),mert_v1_95m,train100,1.0,seed1,test,242,0.8842975206611571,0.8747171679347302,0.9181795489966881,0.8709492242843084
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train100_seed1,MERT+LoRA (r=4),mert_v1_95m,train100,1.0,seed1,external_test,610,0.29180327868852457,0.1469669559351059,0.25281022262154335,0.19320423548264218
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train100_seed2,MERT+LoRA (r=4),mert_v1_95m,train100,1.0,seed2,val,230,0.7869565217391304,0.8023250181137217,0.8708599781515608,0.8301718026456703
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train100_seed2,MERT+LoRA (r=4),mert_v1_95m,train100,1.0,seed2,test,233,0.7124463519313304,0.6160178352680394,0.6693479245856361,0.6825470850778648
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train100_seed2,MERT+LoRA (r=4),mert_v1_95m,train100,1.0,seed2,external_test,610,0.5229508196721312,0.4772334120850518,0.4651191738362455,0.5529942378314295
